[#urls] [#bytes] [host] [#robots] [#remaining] [#novel-urls] [#novel-bytes] [#dup-by-hash-urls] [#dup-by-hash-bytes] [#not-modified-urls] [#not-modified-bytes]
204 5424546 www.bjfu.edu.cn 0 74 204 5424546 0 0 0 0 
49 60601 cms.bjfu.edu.cn 0 0 49 60601 0 0 0 0 
30 312630 news.bjfu.edu.cn 0 0 30 312630 0 0 0 0 
10 753 dns: 0 0 10 753 0 0 0 0 
3 76716 get.adobe.com 0 0 3 76716 0 0 0 0 
2 328 hzvs2.cnzz.com 0 0 2 328 0 0 0 0 
2 3098 v7.cnzz.com 0 0 2 3098 0 0 0 0 
2 799 www.macromedia.com 0 0 2 799 0 0 0 0 
1 279 download.macromedia.com 1 0 1 279 0 0 0 0 
1 259 fpdownload.macromedia.com 1 0 1 259 0 0 0 0 
1 5536 www.adobe.com 0 0 1 5536 0 0 0 0 
